,type,date,value
16,GOODS AND SERVICES (I.A + I.B),2002,-12916
17,GOODS AND SERVICES (I.A + I.B),2003,-14990
18,GOODS AND SERVICES (I.A + I.B),2004,-14187
19,GOODS AND SERVICES (I.A + I.B),2005,-15097
20,GOODS AND SERVICES (I.A + I.B),2006,-21215
21,GOODS AND SERVICES (I.A + I.B),2007,-27647
22,GOODS AND SERVICES (I.A + I.B),2008,-28681
23,GOODS AND SERVICES (I.A + I.B),2009,-21631
24,GOODS AND SERVICES (I.A + I.B),2010,-18257
25,GOODS AND SERVICES (I.A + I.B),2011,-12681
26,GOODS AND SERVICES (I.A + I.B),2012,-7190
27,GOODS AND SERVICES (I.A + I.B),2013,-5026
28,GOODS AND SERVICES (I.A + I.B),2014,-3979
29,GOODS AND SERVICES (I.A + I.B),2015,-298
30,GOODS AND SERVICES (I.A + I.B),2016,-1270
31,GOODS AND SERVICES (I.A + I.B),2017,-919
32,GOODS ( I.Α.1 - I.Α.2),2002,-22525
33,GOODS ( I.Α.1 - I.Α.2),2003,-25185
34,GOODS ( I.Α.1 - I.Α.2),2004,-28181
35,GOODS ( I.Α.1 - I.Α.2),2005,-29364
36,GOODS ( I.Α.1 - I.Α.2),2006,-35205
37,GOODS ( I.Α.1 - I.Α.2),2007,-42787
38,GOODS ( I.Α.1 - I.Α.2),2008,-44363
39,GOODS ( I.Α.1 - I.Α.2),2009,-33136
40,GOODS ( I.Α.1 - I.Α.2),2010,-30379
41,GOODS ( I.Α.1 - I.Α.2),2011,-26290
42,GOODS ( I.Α.1 - I.Α.2),2012,-21030
43,GOODS ( I.Α.1 - I.Α.2),2013,-20776
44,GOODS ( I.Α.1 - I.Α.2),2014,-22252
45,GOODS ( I.Α.1 - I.Α.2),2015,-17231
46,GOODS ( I.Α.1 - I.Α.2),2016,-16581
47,GOODS ( I.Α.1 - I.Α.2),2017,-18353
48,SERVICES ( I.Β.1 - I.Β.2),2002,9609
49,SERVICES ( I.Β.1 - I.Β.2),2003,10195
50,SERVICES ( I.Β.1 - I.Β.2),2004,13994
51,SERVICES ( I.Β.1 - I.Β.2),2005,14267
52,SERVICES ( I.Β.1 - I.Β.2),2006,13990
53,SERVICES ( I.Β.1 - I.Β.2),2007,15139
54,SERVICES ( I.Β.1 - I.Β.2),2008,15681
55,SERVICES ( I.Β.1 - I.Β.2),2009,11504
56,SERVICES ( I.Β.1 - I.Β.2),2010,12121
57,SERVICES ( I.Β.1 - I.Β.2),2011,13609
58,SERVICES ( I.Β.1 - I.Β.2),2012,13840
59,SERVICES ( I.Β.1 - I.Β.2),2013,15749
60,SERVICES ( I.Β.1 - I.Β.2),2014,18273
61,SERVICES ( I.Β.1 - I.Β.2),2015,16932
62,SERVICES ( I.Β.1 - I.Β.2),2016,15311
63,SERVICES ( I.Β.1 - I.Β.2),2017,17433
